id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
52,F,1.6625,1.2875,0.4375,38.82464025,17.57669,7.78193775,10.77281,11.0
53,I,0.4375,0.325,0.1,0.7654365,0.3118445,0.18427175,0.2551455,5.0
54,F,1.65,1.3125,0.3875,38.68289275,14.5999925,9.525432,11.509897,11.0
55,I,1.075,0.8125,0.2625,10.716111,4.60679375,1.814368,2.9766975,8.0
56,M,1.5625,1.2,0.4,34.99745775,13.8062065,6.2085405,9.2135875,13.0
57,F,1.6,1.2,0.4125,38.65454325,16.51358375,8.618248,10.942907,11.0
58,M,1.125,0.8375,0.2875,14.44407025,6.25106475,2.82077525,3.75630875,9.0
59,F,1.6,1.2,0.4,32.205032,14.21727425,8.43397625,8.221355,11.0
60,I,1.125,0.8375,0.2625,12.7289255,5.10291,2.5798045,3.35941575,7.0
61,I,1.075,0.85,0.3,11.2547515,4.706017,2.50893075,3.40194,7.0
62,M,1.675,1.275,0.4,35.02580725,16.3009625,7.27164675,9.02931575,8.0
63,F,1.0625,0.8125,0.275,10.39009175,4.309124,2.11203775,3.5436875,10.0
64,F,1.3875,1.0875,0.35,23.643483,9.28446125,5.76912325,7.5126175,11.0
65,M,1.2,0.95,0.3,14.69921575,5.953395,3.7137845,4.3941725,9.0
66,F,1.375,1.05,0.375,22.66542525,8.40562675,5.14543425,6.6621325,13.0
67,M,1.3,1.0125,0.4,19.1926115,7.1724235,4.46504625,6.6621325,8.0
68,I,1.025,0.75,0.225,9.468733,4.0539785,1.88524175,2.551455,7.0
69,I,0.95,0.75,0.25,7.04485075,3.798833,1.37495075,3.005047,7.0
70,F,1.5375,1.175,0.425,29.653577,10.47514025,6.78970525,9.07184,10.0
71,M,1.625,1.275,0.375,36.0322145,16.25843825,8.29222875,8.88756825,9.0
72,I,1.1,0.8125,0.225,10.886208,5.1312595,2.097863,2.551455,6.0
73,I,0.5125,0.375,0.125,1.54504775,0.5386405,0.18427175,0.3685435,4.0
74,I,1.2375,0.95,0.3375,16.896302,8.1930055,3.75630875,4.1106775,8.0
75,I,1.1,0.825,0.275,10.41844125,4.706017,2.50893075,3.40194,10.0
76,I,1.475,1.15,0.3625,24.42309425,11.4248485,4.4508715,7.654365,10.0
77,F,1.525,1.175,0.4,29.27085875,13.13999325,6.80388,8.788345,10.0
78,M,1.525,1.1625,0.325,30.40483875,13.87708025,6.690482,7.5126175,10.0
79,M,1.325,1.05,0.35,23.24659,11.736693,5.96756975,5.953395,8.0
80,I,1.35,1.1,0.375,20.468339,9.05766525,3.7137845,5.953395,10.0
81,I,1.3875,1.0625,0.3375,22.75047375,9.922325,4.57844425,6.44951125,8.0
82,M,1.1875,0.9375,0.35,14.5999925,6.8322295,3.67126025,4.9611625,8.0
83,F,1.55,1.2125,0.4125,31.18445,13.53688625,5.726599,9.63883,10.0
84,F,1.5125,1.1375,0.375,28.76056775,15.35125425,6.81805475,7.5126175,9.0
85,F,1.5375,1.2625,0.4125,35.6920205,17.0097,8.60407325,10.0640725,11.0
86,F,1.4125,1.1125,0.4,28.689694,12.14776075,6.860579,7.5126175,9.0
87,M,0.95,0.7,0.25,7.540967,3.30271675,1.7293195,2.551455,7.0
88,F,1.175,0.9125,0.2625,12.94154675,4.8477645,2.48058125,4.3941725,13.0
89,I,1.325,1.0625,0.3375,19.97222275,8.1930055,3.69960975,5.5281525,9.0
90,I,0.9625,0.725,0.225,7.81028725,3.1467945,1.5025235,2.16873675,6.0
91,M,1.675,1.2625,0.475,37.1094955,17.1514475,8.34892775,9.7805775,12.0
92,M,1.575,1.15,0.4625,33.46658475,14.10387625,7.98038425,9.922325,14.0
93,I,1.4625,1.15,0.375,26.2232875,12.190285,5.216308,7.7961125,11.0
94,F,1.575,1.1875,0.375,32.16250775,14.92601175,6.25106475,8.9300925,9.0
95,F,1.6125,1.3125,0.4375,49.6399745,18.0586315,8.71747125,16.44271,11.0
96,M,1.6,1.3,0.4875,41.00755175,17.916884,9.355335,13.04077,10.0
97,I,1.4125,1.075,0.325,22.94892025,10.149121,4.649318,5.8116475,8.0
98,I,1.3125,1.0375,0.3375,19.8163005,8.77417025,3.69960975,5.953395,11.0
99,F,1.375,1.0375,0.325,23.133192,7.8528115,4.422522,7.2291225,15.0
100,F,1.1875,0.8875,0.275,12.68640125,5.71242425,2.721552,4.53592,10.0
101,I,1.05,0.75,0.2625,8.618248,3.855532,1.7293195,2.4097075,8.0
102,F,1.5375,1.175,0.4125,32.0065855,16.0174675,7.427569,7.087375,9.0
103,I,0.7375,0.5625,0.2125,3.96893,1.417475,0.63786375,1.190679,5.0
104,I,1.125,0.8625,0.3125,12.37455675,4.7910655,2.39553275,4.1106775,8.0
105,F,1.5625,1.2125,0.425,38.03085425,16.23008875,8.57572375,10.0640725,9.0
106,M,1.7,1.2875,0.3875,41.4753185,17.73261225,8.46232575,10.61688775,11.0
107,F,1.5625,1.225,0.4125,34.6147395,15.06775925,7.144074,8.788345,11.0
108,I,1.375,1.0625,0.375,21.999212,10.489315,4.8477645,5.5281525,8.0
109,F,1.3,1.0125,0.4,24.834162,10.02154825,5.71242425,7.37087,12.0
110,F,1.4125,1.0625,0.35,19.66037825,9.00096625,4.37999775,6.0951425,8.0
111,M,1.5125,1.225,0.4125,32.2333815,15.15280775,7.10154975,8.221355,10.0
112,I,0.4375,0.3125,0.1,0.77961125,0.2551455,0.1417475,0.226796,7.0
113,M,1.4125,1.1,0.3125,21.58814425,9.62465525,4.83358975,6.520385,8.0
114,F,1.55,1.2125,0.4125,26.63435525,12.85649825,5.329706,8.788345,10.0
115,F,1.3375,1.075,0.35,22.339406,7.29999625,4.52174525,6.6621325,12.0
116,M,1.3625,1.025,0.35,21.38969775,8.12213175,4.309124,6.3786375,10.0
117,M,1.6625,1.2625,0.375,38.9805625,17.08057375,9.36950975,10.0640725,13.0
118,M,1.3125,1.025,0.375,23.91280325,10.73028575,5.6982495,6.066793,9.0
119,F,1.625,1.25,0.4375,42.354153,20.87940675,8.66077225,10.489315,10.0
120,F,1.575,1.2125,0.375,30.43318825,14.8834875,6.81805475,8.788345,10.0
121,I,0.35,0.2625,0.0875,0.41106775,0.18427175,0.09922325,0.1417475,4.0
122,I,0.9375,0.65,0.225,5.7549485,2.6365035,1.03475675,1.5592225,6.0
123,I,0.975,0.7,0.25,8.15048125,4.32329875,1.757669,2.1262125,7.0
124,I,1.325,1.0625,0.4,21.95668775,8.94426725,6.0951425,6.80388,9.0
125,I,0.5625,0.425,0.125,1.45999925,0.5386405,0.35436875,0.4252425,4.0
126,M,1.5875,1.2125,0.4375,35.98969025,18.0586315,7.58349125,8.9300925,10.0
127,F,1.5,1.175,0.375,32.16250775,12.3887315,7.824462,8.6465975,16.0
128,F,1.325,1.025,0.3125,17.7751365,8.77417025,3.685435,5.20213325,10.0
129,I,1.0625,0.8125,0.25,10.3475675,4.9044635,1.91359125,2.9766975,7.0
130,I,1.5,1.1875,0.425,28.2077525,10.489315,5.74077375,10.0640725,14.0
131,I,0.7,0.5125,0.2125,3.38776525,1.3891255,0.60951425,0.850485,6.0
132,M,1.575,1.225,0.4,32.31843,13.50853675,6.973977,9.4970825,10.0
133,F,1.4875,1.1875,0.4125,27.385617,11.5949455,5.329706,8.6465975,10.0
134,M,1.325,1.0125,0.35,23.6151335,11.94931425,4.77689075,5.2446575,8.0
135,F,1.5625,1.175,0.4125,29.24250925,12.3320325,5.74077375,9.2135875,11.0
136,F,1.725,1.325,0.45,43.02036625,18.38465075,10.149121,11.5949455,12.0
137,F,1.45,1.15,0.3875,28.576296,14.84096325,5.613201,7.04485075,9.0
138,F,1.575,1.225,0.375,31.87901275,15.71979775,5.1879585,8.788345,11.0
139,M,1.675,1.3625,0.475,45.60017075,18.61144675,9.6104805,15.025235,17.0
140,F,1.4375,1.1125,0.3625,26.26581175,12.34620725,4.89028875,7.2291225,10.0
141,I,0.475,0.3625,0.1625,1.06310625,0.5386405,0.18427175,0.4252425,4.0
142,I,1.4375,1.125,0.3625,23.700182,10.24834425,4.60679375,7.767763,8.0
143,M,1.5,1.1625,0.375,31.22697425,13.947954,6.690482,9.922325,15.0
144,I,0.9875,0.725,0.25,8.63242275,3.7137845,1.60174675,2.324659,6.0
145,F,1.4875,1.1875,0.4,29.48348,13.99047825,6.2085405,8.50485,10.0
146,I,1.0875,0.875,0.25,11.77921725,5.34388075,2.45223175,3.8271825,7.0
147,F,1.5,1.125,0.375,25.27357925,10.8011595,4.8477645,7.2291225,10.0
148,F,1.275,0.9625,0.3625,18.313777,7.087375,3.6570855,6.6621325,11.0
149,I,0.925,0.7,0.2,6.0951425,2.324659,1.34660125,1.984465,6.0
150,M,1.425,1.1125,0.4375,23.586784,9.6671795,4.479221,7.654365,14.0
151,I,0.9,0.6875,0.2125,6.90310325,3.458639,1.48834875,1.871067,6.0
152,F,1.475,1.1625,0.4125,25.95396725,11.736693,5.6415505,8.3631025,11.0
153,I,1.225,0.9625,0.3375,17.02387475,6.73300625,4.025629,5.06038575,11.0
154,F,1.55,1.2,0.4,25.8263945,10.02154825,6.690482,7.5126175,12.0
155,I,0.5125,0.3625,0.1,0.9922325,0.41106775,0.226796,0.283495,3.0
156,M,1.35,1.075,0.375,21.885814,8.63242275,4.52174525,6.0384435,10.0
157,F,0.925,0.6875,0.25,6.4353365,2.664853,1.77184375,1.984465,7.0
158,M,1.3875,1.0125,0.35,24.5790165,12.643877,4.86193925,5.839997,10.0
159,I,1.425,1.125,0.3625,22.963095,9.48290775,5.48562825,6.80388,11.0
160,F,1.625,1.2625,0.4375,37.1094955,16.6411565,6.973977,12.3320325,11.0
161,F,1.6125,1.25,0.45,33.35318675,13.834556,6.25106475,9.7805775,13.0
162,M,1.05,0.8125,0.275,9.8372765,3.912231,2.4097075,2.83495,8.0
163,I,1.25,0.95,0.3375,16.9246515,7.3425205,3.86970675,5.8116475,8.0
164,F,1.3625,1.075,0.3375,22.21183325,10.77281,4.60679375,6.23689,8.0
165,M,1.4375,1.125,0.3875,27.8675585,12.68640125,6.2652395,7.5126175,10.0
166,M,1.5,1.2125,0.4375,31.2694985,12.2186345,6.78970525,10.489315,16.0
167,M,1.4375,1.3,0.425,33.8776525,15.86154525,6.67630725,10.0640725,11.0
168,M,1.4625,1.1375,0.375,27.37144225,10.33339275,5.726599,7.2291225,11.0
169,F,1.625,1.2875,0.375,34.06192425,15.37960375,7.824462,8.334753,12.0
170,I,1.525,1.175,0.35,33.40988575,18.3421265,5.6699,6.520385,10.0
171,I,0.9375,0.7,0.2125,7.994559,3.55786225,1.48834875,2.05533875,6.0
172,I,0.875,0.6625,0.225,6.27941425,2.70737725,1.0489315,2.1262125,9.0
173,I,0.9375,0.7,0.2,6.64795775,3.061746,1.11980525,1.8994165,7.0
174,F,1.3875,1.125,0.425,24.76328825,7.7961125,5.273007,7.7961125,22.0
175,F,1.525,1.1875,0.3625,29.7386255,13.93377925,7.64019025,8.788345,11.0
176,F,1.5875,1.2125,0.4,32.1199835,17.7184375,6.47786075,8.6465975,14.0
177,M,1.4375,1.1125,0.4375,27.20134525,11.43902325,5.59902625,8.50485,11.0
178,F,1.325,1.025,0.35,21.4605715,8.9300925,4.12485225,5.11708475,11.0
179,I,1.1875,0.9,0.3,13.0124205,5.896696,2.50893075,4.1106775,8.0
180,M,1.4625,1.15,0.425,29.29920825,10.149121,6.30776375,8.3631025,12.0
181,F,1.6375,1.3125,0.45,41.80133775,16.85377775,10.432616,11.3681495,10.0
182,F,1.35,1.05,0.3625,28.44872325,10.1774705,5.8116475,8.3631025,18.0
183,I,1.225,0.975,0.35,16.23008875,7.35669525,3.40194,4.9611625,7.0
184,F,1.6375,1.275,0.475,37.364641,17.1514475,7.52679225,10.8011595,8.0
185,F,1.55,1.2,0.35,30.333965,12.99824575,5.51397775,8.9300925,12.0
186,M,1.2625,0.9625,0.3125,18.58309725,8.94426725,4.252425,5.10291,10.0
187,I,1.0,0.7625,0.225,9.73805325,4.57844425,1.77184375,3.118445,8.0
188,I,0.875,0.6875,0.2375,4.86193925,1.85689225,1.3891255,1.70097,6.0
189,I,1.325,1.0375,0.3125,19.06503875,8.34892775,3.40194,4.819415,8.0
190,I,0.8125,0.6125,0.2125,4.706017,2.211261,0.92135875,1.417475,6.0
191,I,1.3625,1.05,0.35,18.01610725,7.8528115,4.309124,5.386405,7.0
192,I,0.8625,0.6625,0.2375,6.25106475,2.65067825,1.70097,1.871067,7.0
193,I,0.8625,0.7125,0.225,6.70465675,2.7499015,1.43164975,2.1262125,7.0
194,F,1.4625,1.125,0.425,29.766975,11.49572225,6.59125875,8.7599955,14.0
195,M,1.375,1.1,0.3875,27.0737725,12.47378,4.57844425,7.7961125,9.0
196,M,1.625,1.3,0.475,41.39027,19.46193175,9.14271375,10.44679075,11.0
197,I,1.35,1.0875,0.3625,24.67823975,10.035723,4.989512,8.221355,9.0
198,I,1.15,0.9,0.325,14.8267885,5.48562825,3.01922175,4.6776675,9.0
199,M,1.6625,1.275,0.45,40.1145425,18.653971,10.50348975,10.61688775,10.0
200,I,0.8125,0.6,0.225,4.20990075,1.65844575,0.94970825,1.20485375,6.0
201,I,1.25,0.9875,0.3125,15.5071765,7.52679225,3.58621175,3.9972795,7.0
202,M,0.925,0.725,0.25,6.30776375,2.31048425,1.6726205,2.1262125,7.0
203,M,1.5,1.225,0.4,33.89182725,14.911837,7.49844275,8.80251975,10.0
204,F,1.55,1.2125,0.4375,34.9549335,13.65028425,7.654365,11.056305,14.0
205,F,1.4875,1.2125,0.4625,31.70891575,13.65028425,7.35669525,9.07184,9.0
206,F,1.2375,0.95,0.3,15.9607685,7.01650125,3.005047,4.252425,8.0
207,F,1.7125,1.375,0.4125,40.78075575,19.20678625,10.20582,10.0640725,11.0
208,M,1.6875,1.3375,0.4875,40.78075575,17.1514475,8.051258,12.0485375,9.0
209,F,1.4375,1.125,0.375,23.7285315,10.24834425,4.57844425,6.9456275,10.0
210,M,1.6125,1.25,0.4375,37.7331845,14.04717725,8.23552975,11.056305,10.0
211,F,1.7375,1.4,0.55,52.29065275,26.3933845,11.396499,12.03436275,11.0
212,F,1.5,1.2125,0.3875,31.18445,12.20445975,7.47009325,9.922325,11.0
213,F,1.55,1.175,0.375,31.22697425,13.16834275,6.22271525,10.19164525,8.0
214,M,1.5125,1.175,0.4375,34.0477495,17.690088,7.2858215,7.7961125,11.0
215,I,0.975,0.725,0.2125,7.144074,3.01922175,1.4458245,1.984465,6.0
216,M,1.275,1.0,0.35,18.75319425,7.8528115,4.422522,5.953395,11.0
217,I,0.8,0.6,0.1875,4.7910655,2.31048425,0.86465975,1.247378,5.0
218,F,1.575,1.2375,0.45,32.44600275,15.025235,6.3219385,9.865626,10.0
219,M,1.675,1.25,0.4,36.173962,18.32795175,8.20718025,9.4970825,10.0
220,I,1.2,0.95,0.25,17.4349425,9.8372765,3.231843,4.3941725,8.0
221,I,0.925,0.725,0.225,6.577084,3.75630875,1.31825175,2.1262125,7.0
222,M,1.3625,1.05,0.3375,21.24795025,9.6671795,4.43669675,6.066793,10.0
223,F,1.625,1.3,0.4,32.205032,12.47378,8.71747125,11.4815475,9.0
224,M,1.4375,1.125,0.325,23.48756075,8.3064035,5.20213325,7.654365,14.0
225,I,1.05,0.8125,0.2625,10.41844125,4.60679375,2.891649,2.9766975,8.0
226,M,1.625,1.3125,0.4625,38.5836695,14.911837,8.29222875,11.90679,18.0
227,F,1.425,1.1125,0.3875,24.323871,9.90815025,5.1879585,7.93786,15.0
228,I,0.775,0.575,0.1875,4.12485225,1.71514475,0.80796075,1.2757275,6.0
229,M,1.675,1.3125,0.5125,44.21104525,17.78931125,8.77417025,11.623295,18.0
230,F,1.65,1.35,0.4625,39.7743485,18.18620425,6.690482,10.489315,11.0
231,F,1.5625,1.175,0.375,35.50774875,17.0097,8.0229085,9.355335,9.0
232,M,1.6,1.3125,0.4,32.13415825,16.08834125,6.973977,8.6465975,13.0
233,M,0.725,0.625,0.1875,4.86193925,1.6159215,0.9922325,1.70097,5.0
234,F,1.4375,1.125,0.375,23.700182,10.41844125,4.309124,6.61960825,12.0
235,M,1.4875,1.1625,0.3875,26.40755925,12.28950825,5.2446575,7.087375,11.0
236,M,1.3,1.0,0.3375,19.23513575,7.257472,3.86970675,5.10291,12.0
237,I,0.45,0.3125,0.1125,0.66621325,0.2551455,0.15592225,0.1417475,4.0
238,I,1.1875,0.8875,0.325,13.48018725,6.76135575,2.87747425,4.3941725,8.0
239,I,1.025,0.7875,0.225,10.19164525,5.28718175,1.927766,2.5798045,8.0
240,F,1.55,1.2,0.4625,36.7693015,16.612807,8.63242275,9.4970825,13.0
241,I,1.0375,0.7625,0.25,8.60407325,3.69960975,1.927766,2.9766975,9.0
242,M,1.6125,1.2,0.425,37.94580575,17.519991,7.86698625,9.4970825,8.0
243,I,1.1625,0.875,0.2875,13.154168,5.34388075,3.061746,4.252425,7.0
244,I,1.375,1.0625,0.3875,21.72989175,9.28446125,4.63514325,5.953395,8.0
245,I,1.2125,0.9375,0.3125,17.36406875,8.8166945,3.6570855,4.20990075,7.0
246,M,1.6125,1.2,0.3875,35.59279725,17.98775775,7.427569,9.355335,10.0
247,M,1.575,1.25,0.4125,35.4652245,13.5227115,6.95980225,11.056305,21.0
248,I,0.7,0.525,0.125,2.28213475,1.190679,0.396893,0.56699,5.0
249,I,0.9625,0.675,0.2,5.556502,2.05533875,1.20485375,1.984465,7.0
250,I,1.4125,1.1,0.375,24.9192105,9.128539,5.1879585,7.7961125,16.0
251,M,1.7375,1.4125,0.4625,51.766187,22.69377475,12.076887,14.061352,14.0
252,I,0.925,0.7125,0.225,6.39281225,2.82077525,0.963883,2.26796,7.0
253,F,1.6625,1.275,0.4375,39.24988275,18.313777,8.60407325,11.056305,9.0
254,I,1.4375,1.1,0.375,24.73493875,12.0485375,4.989512,6.9456275,10.0
255,I,0.9,0.6625,0.2,5.71242425,2.7499015,1.0489315,1.8427175,7.0
256,F,1.4,1.1,0.35,22.66542525,10.24834425,5.82582225,6.7755305,8.0
257,M,1.45,1.1375,0.3375,24.720764,10.6310625,5.5281525,6.80388,10.0
258,I,0.8625,0.6875,0.225,5.85417175,2.11203775,1.1623295,1.984465,8.0
259,I,0.725,0.525,0.1875,3.6003865,1.474174,0.850485,0.850485,6.0
260,M,1.4,1.15,0.375,25.911443,10.90038275,4.40834725,7.3425205,9.0
261,F,1.175,0.9,0.3125,13.90542975,5.726599,2.5231055,3.6570855,9.0
262,I,0.975,0.7375,0.225,7.95203475,3.118445,1.48834875,2.19708625,7.0
263,M,1.4,1.1375,0.4,28.98736375,11.5382465,6.36446275,8.50485,11.0
264,M,1.6375,1.2875,0.3875,40.25629,12.927372,9.241937,11.3398,16.0
265,F,1.525,1.2125,0.425,32.89959475,14.7133905,7.767763,10.0640725,10.0
266,M,1.375,1.0375,0.4125,26.20911275,9.36950975,6.123492,8.6465975,9.0
267,I,0.9,0.6625,0.225,6.13766675,2.721552,1.0489315,1.8427175,6.0
268,F,1.8,1.425,0.5125,54.941331,14.8834875,10.58853825,25.4295015,21.0
269,F,1.525,1.175,0.4125,31.99241075,14.01882775,7.654365,9.07184,10.0
270,M,1.3125,1.025,0.3375,21.9708625,8.334753,5.08873525,7.37087,15.0
271,F,1.4,1.175,0.4125,32.715323,15.52135125,6.27941425,8.9300925,12.0
272,F,1.3,1.0625,0.4,26.03901575,11.453198,6.8322295,8.221355,9.0
273,F,1.375,1.1,0.3875,25.13183175,11.679994,6.1518415,6.3786375,8.0
274,I,1.1875,0.9375,0.2875,14.1464005,7.18659825,2.50893075,4.252425,7.0
275,F,1.4375,1.125,0.4125,26.52095725,11.4248485,6.860579,7.5126175,14.0
276,M,1.525,1.2125,0.4,28.50542225,12.927372,5.88252125,9.355335,10.0
277,M,1.4,1.125,0.45,25.7696955,10.432616,5.896696,7.2291225,12.0
278,I,0.825,0.6125,0.2125,4.09650275,1.8427175,1.09145575,1.5592225,8.0
279,M,1.5875,1.25,0.4,35.81959325,17.70426275,8.6465975,9.4970825,11.0
280,I,1.075,0.8125,0.3,10.41844125,4.40834725,2.0695135,2.9766975,8.0
281,F,1.425,1.1,0.4,24.67823975,7.93786,4.97533725,8.50485,14.0
282,F,1.4125,1.1,0.3875,28.81726675,13.947954,6.95980225,6.70465675,8.0
283,M,1.0625,0.775,0.2625,10.3475675,3.96893,2.2963095,3.8271825,10.0
284,M,1.4125,1.1,0.3125,24.0687255,8.00873375,5.0745605,7.7961125,9.0
285,F,1.5875,1.25,0.4125,35.02580725,14.74174,8.164656,10.489315,10.0
286,M,1.425,1.1625,0.4,26.932025,12.246984,6.08096775,7.7961125,10.0
287,F,1.4375,1.15,0.375,31.22697425,15.46465225,7.087375,7.5126175,10.0
288,F,1.6875,1.375,0.4375,47.07434475,20.2131935,10.6877615,12.6155275,12.0
289,M,1.6,1.25,0.4125,35.81959325,14.7133905,7.52679225,9.4970825,11.0
290,I,1.3375,1.05,0.35,20.638436,8.68912175,4.8477645,6.6621325,9.0
291,I,0.6,0.45,0.1375,1.06310625,0.52446575,0.3685435,0.510291,3.0
292,I,1.1875,0.925,0.3,12.74310025,4.72019175,2.9199985,3.685435,8.0
293,F,1.75,1.3375,0.4875,48.477645,18.540573,13.6928085,13.3526145,11.0
294,M,0.95,0.6875,0.225,7.1724235,3.1467945,1.63009625,2.1262125,7.0
295,F,1.425,1.125,0.35,27.158821,10.8011595,5.42892925,8.788345,10.0
296,I,0.875,0.65,0.225,6.2085405,2.82077525,1.54504775,1.984465,7.0
297,F,1.5625,1.2125,0.4375,36.5425055,16.8112535,9.241937,9.2135875,12.0
298,I,0.9375,0.675,0.2,6.30776375,3.3168915,1.4458245,1.7860185,6.0
299,I,0.925,0.6875,0.2375,6.066793,2.721552,1.5025235,1.984465,6.0
300,F,1.475,1.1375,0.3625,25.16018125,11.0846545,5.4714535,7.2291225,8.0
301,I,1.1,0.85,0.3,12.984071,5.99591925,2.42388225,3.40194,7.0
302,F,1.45,1.15,0.4125,27.4139665,10.44679075,7.15824875,8.3631025,13.0
303,F,1.3,1.0125,0.325,18.9091165,7.55514175,4.55009475,5.2446575,11.0
304,M,1.475,1.125,0.4,26.69105425,10.64523725,6.13766675,7.087375,10.0
305,I,1.325,1.0625,0.325,22.0275615,8.561549,4.15320175,6.23689,12.0
306,F,1.425,1.1,0.35,23.40251225,9.48290775,5.40057975,6.9456275,8.0
307,M,1.025,0.75,0.25,7.98038425,3.55786225,1.7293195,2.551455,10.0
308,M,1.325,0.9875,0.325,17.95940825,6.13766675,3.04757125,6.23689,14.0
309,F,1.5375,1.1875,0.4375,36.67007825,17.13727275,8.3064035,9.07184,11.0
310,F,1.4625,1.15,0.3625,28.33532525,12.813974,6.2085405,6.6621325,9.0
311,I,1.475,1.125,0.3625,19.97222275,9.31281075,4.15320175,6.520385,8.0
312,I,0.7375,0.55,0.2125,3.4302895,1.417475,0.510291,0.850485,5.0
313,I,1.1,0.8875,0.3,12.71475075,4.72019175,2.381358,4.1673765,7.0
